country,date,daily_vaccinations,total_vaccinations,people_vaccinated,people_fully_vaccinated,population
Tunisia,10/12/2021,35425,8540640,5316244,4113510,
Tunisia,10/13/2021,38526,8579166,5341200,4131734,
Tunisia,10/14/2021,40843,8620009,5369621,4149625,
Tunisia,10/15/2021,20516,8640525,5383728,4161982,
Tunisia,10/16/2021,37508,8678033,5400133,4189084,11935130
Turkey,10/10/2021,135057,112360409,54497626,46245192,
Turkey,10/11/2021,306217,112666626,54565515,46435265,
Turkey,10/12/2021,274468,112941094,54624841,46617072,
Turkey,10/13/2021,242206,113183300,54679606,46775005,
Turkey,10/14/2021,234957,113418257,54734206,46926728,
Turkey,10/15/2021,291276,113709533,54799554,47119099,
Turkey,10/16/2021,152703,113862236,54833779,47226488,85041629
Uganda,10/10/2021,,,,,
Uganda,10/11/2021,,,,,
Uganda,10/12/2021,,,,,
Uganda,10/13/2021,,,,,
Uganda,10/14/2021,,2793657,2378171,415486,47110574
Uganda,10/15/2021,,,,,
Uganda,10/16/2021,,,,,
Ukraine,10/10/2021,39060,13683903,7548871,6135032,
Ukraine,10/11/2021,123230,13807133,7609047,6198086,
Ukraine,10/12/2021,152703,13959836,7688562,6271274,
Ukraine,10/13/2021,164387,14124223,7774484,6349739,
Ukraine,10/14/2021,34897,14159120,7794187,6364933,
Ukraine,10/15/2021,148438,14307558,7873767,6433791,
Ukraine,10/16/2021,82800,14390358,7922413,6467945,43462272
United Arab Emirates,10/10/2021,25314,20479211,9445401,8426682,
United Arab Emirates,10/11/2021,,20479211,,8426682,
United Arab Emirates,10/12/2021,,20479211,,8426682,
United Arab Emirates,10/13/2021,,20552839,9474818,8475907,
United Arab Emirates,10/14/2021,35187,20588026,9484972,8486033,
United Arab Emirates,10/15/2021,31708,20619734,9494889,8505838,
United Arab Emirates,10/16/2021,41271,20661005,,8505838,9991298
United Kingdom,10/10/2021,41557,94376101,49186920,45189181,
United Kingdom,10/11/2021,52804,94428905,49216092,45212813,
United Kingdom,10/12/2021,63793,94492698,49252939,45239759,
United Kingdom,10/13/2021,68207,94560905,49291665,45269240,
United Kingdom,10/14/2021,71480,94632385,49335154,45297231,
United Kingdom,10/15/2021,70195,94702580,49375917,45326663,
United Kingdom,10/16/2021,62482,94765062,49404916,45360146,68205745
United States,10/10/2021,,,,,
United States,10/11/2021,,,,,
United States,10/12/2021,,403576826,217403897,187714829,
United States,10/13/2021,794421,404371247,217627490,187937559,
United States,10/14/2021,1073311,405444558,217953275,188281747,
United States,10/15/2021,1126317,406570875,218318056,188655196,
United States,10/16/2021,876086,407446961,218562924,188902483,336316105
Uruguay,10/10/2021,249,6397739,2742766,2595983,
Uruguay,10/11/2021,7019,6404758,2743921,2598787,
Uruguay,10/12/2021,11486,6416244,2746300,2600247,
Uruguay,10/13/2021,19140,6435384,2747472,2601204,
Uruguay,10/14/2021,22332,6457716,2749018,2602401,
Uruguay,10/15/2021,18131,6475847,2751381,2604607,
Uruguay,10/16/2021,2,6475849,2751381,2604607,3485200
Uzbekistan,10/10/2021,,,,,
Uzbekistan,10/11/2021,,,,,
Uzbekistan,10/12/2021,,,,,
Uzbekistan,10/13/2021,,22721000,,,33937267
Uzbekistan,10/14/2021,,,,,
Uzbekistan,10/15/2021,,,,,
Uzbekistan,10/16/2021,,,,,
Vanuatu,10/10/2021,,,,,
Vanuatu,10/11/2021,,,,,
Vanuatu,10/12/2021,,87583,59215,28368,314482
Vanuatu,10/13/2021,,,,,
Vanuatu,10/14/2021,,,,,
Vanuatu,10/15/2021,,,,,
Vanuatu,10/16/2021,,,,,
Vietnam,10/10/2021,,54279564,38698136,15581428,
Vietnam,10/11/2021,949560,55229124,39088086,16141038,
Vietnam,10/12/2021,1101626,56330750,39837150,16493600,
Vietnam,10/13/2021,1126342,57457092,40654892,16802200,
Vietnam,10/14/2021,1546147,59003239,41811429,17191810,
Vietnam,10/15/2021,,59003239,,17191810,
Vietnam,10/16/2021,,61919937,44070286,17849651,98176530
Wales,10/10/2021,6004,4630650,2400694,2229956,
Wales,10/11/2021,1795,4632445,2401771,2230674,
Wales,10/12/2021,2570,4635015,2403211,2231804,
Wales,10/13/2021,2189,4637204,2404237,2232967,
Wales,10/14/2021,1904,4639108,2405335,2233773,
Wales,10/15/2021,2586,4641694,2406747,2234947,
Wales,10/16/2021,5793,4647487,2412040,2235447,3169966
Wallis and Futuna,10/10/2021,,,,,
Wallis and Futuna,10/11/2021,,,,,
Wallis and Futuna,10/12/2021,,11009,5749,5260,11095
Wallis and Futuna,10/13/2021,,,,,
Wallis and Futuna,10/14/2021,,,,,
Wallis and Futuna,10/15/2021,,,,,
Wallis and Futuna,10/16/2021,,,,,
Zambia,10/10/2021,,,,,
Zambia,10/11/2021,,802043,,462835,
Zambia,10/12/2021,7945,809988,,468818,
Zambia,10/13/2021,8535,818523,,474970,
Zambia,10/14/2021,8824,827347,,481342,
Zambia,10/15/2021,8752,836099,,487528,
Zambia,10/16/2021,7248,843347,,492678,18909126
Zimbabwe,10/10/2021,9206,5581524,3171399,2410125,
Zimbabwe,10/11/2021,13284,5594808,3176445,2418363,
Zimbabwe,10/12/2021,17668,5612476,3183015,2429461,
Zimbabwe,10/13/2021,20058,5632534,3190977,2441557,
Zimbabwe,10/14/2021,21733,5654267,3200122,2454145,
Zimbabwe,10/15/2021,20471,5674738,3208175,2466563,
Zimbabwe,10/16/2021,13220,5687958,3214178,2473780,15091425
